name,pric
【正版特价】数据结构与算法：Python语言描述|230046,21.60
我的Python世界 Python minecraft 我的世界 编程 游戏 边编程边玩,51.75
包邮 PySpark实战指南：利用Python和Spark构建数据密集型|6877019,34.30
机器学习即服务：将Python机器学习创意快速转变为云端Web应用程序,81.70
强化学习与深度学习：通过C语言模拟,48.60
Python与数据挖掘,40.40
零基础入门学习Python(第2版)-微课视频版 小甲鱼 9787302514084,51.62
机器学习系统设计：Python语言实现,48.70
Python核心编程(第3版)&Python编程(从入门到实践) 共2册,101.10
大数据数学基础 PYTHON语言描述,35.30
包邮现货 编写高质量代码：改善Python程序的91个建议[按需印刷]|3770256,59.00
Python 3快速入门与实战,59.90
【正版特价】软件架构：Python语言实现 计算机与互联网 |231392,37.90
包邮 [套装书]Python深度学习：基于PyTorch+深度学习实践：|8064751,107.40
Python学习手册 原书第5版新版本上下两册/基于python3.3 2.7/python入门/,170.80
【正版特价】Python程序设计 计算机与互联网 |228403,37.90
Python3程序设计基础,39.80
Python编程从入门到实践+流畅的Python 组套装,185.60
【预售】图灵教育 流畅的Python PSF研究员 知名PyCon演讲者心血之作,104.25
【预售】树莓派开发实战 第2版 树莓派 Raspberry Pi Python 实战,66.75
包邮 Python3智能数据分析快速入门|8060488,83.30
基于Python的智能文本分析,65.10
跟老齐学Python轻松入门 python核心编程技术 python语言编程教程书,44.80
包邮 [套装书]Python人工智能项目实战+聊天机器人：入门、进阶与实|8065075,107.40
Python数据可视化之matplotlib实践 数据分析 从入门到实战系列 编程,46.00
【正版特价】机器学习：使用OpenCV和Python进行智能图像处理|232071,33.10
Python学习：从入门到实践/中国高校创意创新创业教育系列丛书,42.30
包邮 Python数据分析与数据化运营 计算机与互联网 |6998727,69.30
基于Python的金融分析与风险管理 科技金融大数据风控金融分析师教程量化交易金融市场技术分,88.70
Python机器学习与量化投资/金融科技丛书,57.50
3本 Python编程从入门到实践+Python核心编程 第3版+Python 3标准库,305.73
大数据与人工智能技术丛书·Python机器学习：数据分析与评分卡建模（微课版）,41.60
Python数据科学手册(影印版),77.80
